Date,Time,CO,PT08.S1_CO,NMHC,C6H6,PT08.S2_NMHC,NOx,PT08.S3_NOx,NO2,PT08.S4_NO2,PT08.S5_O3,T,RH,AH,Datetime
2004-03-11,09:00:00,2.2,1351,87,9.54064,960.25,129,1079,101,1582.75,1027.75,10.5,60.6,0.769111,2004-03-11 09:00:00
2004-03-11,10:00:00,1.7,1233.25,77,6.33578,827.25,112,1218,98,1445.75,859.75,10.8,58.35,0.755183,2004-03-11 10:00:00
2004-03-11,11:00:00,1.5,1178.75,43,4.97158,762,95,1327.5,92,1361.75,670.5,10.5,57.925,0.735161,2004-03-11 11:00:00
2004-03-11,12:00:00,1.6,1236,61,5.21692,774.25,104,1301.25,95,1401.25,664,9.525,66.775,0.795054,2004-03-11 12:00:00
2004-03-11,13:00:00,1.9,1285.5,63,7.26993,868.5,146,1162.25,112,1536.75,799,8.3,76.425,0.839268,2004-03-11 13:00:00
2004-03-11,14:00:00,2.9,1371,164,11.539,1033.5,207,983.25,128,1730.25,1036.5,8,81.15,0.873589,2004-03-11 14:00:00
2004-03-11,15:00:00,2.2,1310,79,8.82622,932.5,184,1081.75,126,1646.5,946.25,8.325,79.8,0.877784,2004-03-11 15:00:00
2004-03-11,16:00:00,2.2,1291.75,95,8.30141,911.5,193,1102.5,131,1590.75,956.75,9.7,71.15,0.856938,2004-03-11 16:00:00
2004-03-11,17:00:00,2.9,1383,150,11.1516,1019.75,243,1008,135,1718.75,1104,9.775,67.625,0.818501,2004-03-11 17:00:00
2004-03-11,18:00:00,4.8,1580.75,307,20.7992,1318.5,281,798.5,151,2083,1408.5,10.35,64.175,0.806544,2004-03-11 18:00:00
2004-03-11,19:00:00,6.9,1775.5,461,27.3598,1487.75,383,702.25,172,2332.5,1704,9.65,69.3,0.831921,2004-03-11 19:00:00
2004-03-11,20:00:00,6.1,1640,401,24.0178,1404,351,742.75,165,2191.25,1653.75,9.65,67.75,0.813314,2004-03-11 20:00:00
2004-03-11,21:00:00,3.9,1312.75,197,12.7794,1076.25,240,957.25,136,1706.5,1284.75,9.125,63.975,0.741924,2004-03-11 21:00:00
2004-03-11,22:00:00,1.5,964.5,61,4.70707,748.5,94,1325.25,85,1332.5,821,8.175,63.4,0.690484,2004-03-11 22:00:00
2004-03-11,23:00:00,1,912.75,26,2.64572,629.25,47,1564.5,53,1252.25,551.75,8.25,60.825,0.665744,2004-03-11 23:00:00
2004-03-12,00:00:00,1.7,1080.25,55,5.8548,805,122,1253.5,97,1375,815.5,8.325,58.525,0.643764,2004-03-12 00:00:00
2004-03-12,01:00:00,1.9,1043.75,53,6.3743,829,133,1247.25,110,1378.25,831.5,7.725,59.675,0.630766,2004-03-12 01:00:00
2004-03-12,02:00:00,1.4,987.75,40,4.13234,718,82,1395.5,91,1303.5,691.5,7.125,61.8,0.627597,2004-03-12 02:00:00
2004-03-12,03:00:00,0.8,888.75,21,1.86944,574.25,51.5,1680.25,61.5,1187,512,6.975,62.275,0.626108,2004-03-12 03:00:00
2004-03-12,04:00:00,0.7,831,10,1.06829,505.75,21,1892.75,32,1133.75,384,6.1,65.9,0.624754,2004-03-12 04:00:00
2004-03-12,05:00:00,0.6,847.25,7,1.02241,501.25,30,1894.5,44,1154.75,394,6.275,64.975,0.623282,2004-03-12 05:00:00
2004-03-12,06:00:00,0.8,927,17,1.83043,571.25,56,1684.75,71,1222.75,486.5,6.75,62.95,0.623428,2004-03-12 06:00:00
2004-03-12,07:00:00,1.4,1090.5,33,4.35934,730.25,109,1387,104,1360.75,748.25,6.45,65.075,0.631628,2004-03-12 07:00:00
2004-03-12,08:00:00,4.4,1587,202,17.8656,1235.5,307,896.5,141,1900.25,1400.25,7.325,63.15,0.649933,2004-03-12 08:00:00
2004-03-12,09:00:00,3.75,1544.5,205,22.0742,1353,247,767.25,131.5,2058,1587.75,9.225,56.2,0.656065,2004-03-12 09:00:00
2004-03-12,10:00:00,3.1,1350.25,208,14.027,1117.5,187,912,122,1711.75,1237,13.225,41.75,0.63195,2004-03-12 10:00:00
2004-03-12,11:00:00,2.7,1262.75,166,11.6456,1037.25,216,969,143,1598.25,1166.5,14.325,38.45,0.624304,2004-03-12 11:00:00
2004-03-12,12:00:00,2.1,1206.25,114,10.2247,986,143,1034.5,113,1537,959,15.025,36.5,0.619532,2004-03-12 12:00:00
2004-03-12,13:00:00,2.5,1251.5,140,11.0399,1015.75,160,1007.5,116,1592.75,983,16.1,34.475,0.626165,2004-03-12 13:00:00
2004-03-12,14:00:00,2.7,1287,169,12.8164,1077.5,163,948.75,123,1660.25,1060.75,16.275,35.725,0.656031,2004-03-12 14:00:00
2004-03-12,15:00:00,2.9,1352.75,185,14.1739,1122.25,190,921.75,126,1740,1139.25,15.825,37.025,0.660961,2004-03-12 15:00:00
2004-03-12,16:00:00,2.8,1309,165,12.6906,1073.25,178,954,120,1657.25,1112.25,15.875,37.175,0.665729,2004-03-12 16:00:00
2004-03-12,17:00:00,2.4,1274,133,11.7384,1040.5,150,1005.75,119,1609.75,993.75,16.875,34.35,0.654909,2004-03-12 17:00:00
2004-03-12,18:00:00,3.9,1509.5,233,19.291,1276.5,206,812.25,149,1909.75,1409.5,15.15,39.55,0.676627,2004-03-12 18:00:00
2004-03-12,19:00:00,3.7,1525.25,242,18.2262,1246,202,821,145,1846.75,1447.75,14.4,43.425,0.70845,2004-03-12 19:00:00
2004-03-12,20:00:00,6.6,1843,488,32.5563,1609.75,340,624,170,2390.25,1886.5,12.875,50.525,0.747803,2004-03-12 20:00:00
2004-03-12,21:00:00,4.4,1597.75,333,20.0929,1299,274,752,149,1940.5,1626.75,12.15,53.35,0.75362,2004-03-12 21:00:00
2004-03-12,22:00:00,3.5,1483.5,215,14.3213,1127,253,839,139,1723,1491,10.975,59.125,0.77398,2004-03-12 22:00:00
2004-03-12,23:00:00,5.4,1677.25,367,21.8129,1346,300,740.5,134,2062,1657,9.675,64.625,0.777074,2004-03-12 23:00:00
2004-03-13,00:00:00,2.7,1279.5,122,9.639,964,193,962.5,113,1543.5,1285.25,9.45,64.125,0.759747,2004-03-13 00:00:00
2004-03-13,01:00:00,1.9,1196.25,67,7.37514,873,139,1071.25,97,1463.25,1144.25,9.15,63.9,0.742276,2004-03-13 01:00:00
2004-03-13,02:00:00,1.6,1183.75,43,5.3696,781.75,83,1176.25,82,1364.5,1042.75,8.8,63.925,0.725615,2004-03-13 02:00:00
2004-03-13,03:00:00,1.7,1171.75,46,5.3901,782.75,96,1178.5,82.5,1379.75,995.5,7.8,67.525,0.717312,2004-03-13 03:00:00
2004-03-13,04:00:00,1.35,1147,56,6.19904,821,109,1132.25,83,1411.75,991.5,7,71.075,0.715778,2004-03-13 04:00:00
2004-03-13,05:00:00,1,978.25,30,2.57793,624.75,62,1420.25,65,1274.25,819.25,8.3,63.575,0.698155,2004-03-13 05:00:00
2004-03-13,06:00:00,1.2,1099.5,27,2.90855,646.25,53,1406.25,60,1267.5,835,7.2,67.475,0.688672,2004-03-13 06:00:00
2004-03-13,07:00:00,1.5,1112.25,47,5.13626,770.25,139,1228,77,1408.5,939.75,6.35,71.9,0.693199,2004-03-13 07:00:00
2004-03-13,08:00:00,2.7,1335.5,132,11.8171,1043.25,256,935.25,96,1678,1191.75,6.45,71.55,0.694475,2004-03-13 08:00:00
2004-03-13,09:00:00,3.7,1408.33,239,15.1402,1153,295,830.333,119,1776.67,1411,9.56667,59.6667,0.712367,2004-03-13 09:00:00
2004-03-13,10:00:00,3.2,1447,160,12.9131,1080.75,250,868.5,126,1666.75,1465,12.375,51.175,0.733458,2004-03-13 10:00:00
2004-03-13,11:00:00,4.1,1541.5,283,16.1335,1183.75,296,808.25,158,1779.75,1582.5,15.65,42.2,0.745094,2004-03-13 11:00:00
2004-03-13,12:00:00,3.6,1451.25,210,14.0193,1117.25,239,875.25,161,1679.25,1387.25,18.4,33.825,0.708964,2004-03-13 12:00:00
2004-03-13,13:00:00,2.8,1328.25,154,12.2797,1059.25,153,986.5,124,1599.5,1100.5,19.35,31.275,0.695008,2004-03-13 13:00:00
2004-03-13,14:00:00,2,1206.5,112,8.61841,924.25,118,1087.75,102,1488.25,849.75,18.025,34.8,0.712674,2004-03-13 14:00:00
2004-03-13,15:00:00,2,1239.5,108,9.19657,947,119,1049,116,1531.75,947,18.375,33.65,0.704207,2004-03-13 15:00:00
2004-03-13,16:00:00,2.5,1306,111,10.2449,986.75,138,1004,124,1554,1078,17.625,35.1,0.701203,2004-03-13 16:00:00
2004-03-13,17:00:00,2.3,1326,97,10.6118,1000.25,148,975.5,125,1601.5,1083.75,16.675,37.8,0.711736,2004-03-13 17:00:00
2004-03-13,18:00:00,3.2,1472.75,191,15.4522,1162.75,227,830.5,148,1779,1394.75,16.1,41.025,0.745131,2004-03-13 18:00:00
2004-03-13,19:00:00,4.2,1609,258,19.6368,1286.25,277,757.5,165,1922,1611.5,15.825,42.4,0.756914,2004-03-13 19:00:00
2004-03-13,20:00:00,4.2,1610.75,284,19.2027,1274,279,754.25,161,1915,1697.25,15.65,44.1,0.778641,2004-03-13 20:00:00
2004-03-13,21:00:00,4.2,1620.5,269,18.2693,1247.25,283,762,159,1860,1885.5,15.325,46.775,0.809124,2004-03-13 21:00:00
2004-03-13,22:00:00,3.1,1444.25,180,13.1447,1088.5,214,844,143,1747.5,1623.75,14.65,48.625,0.805969,2004-03-13 22:00:00
2004-03-13,23:00:00,2.6,1418,116,10.8734,1009.75,172,892,130,1603,1536.25,14.7,49.275,0.819336,2004-03-13 23:00:00
2004-03-14,00:00:00,2.9,1533.5,93,10.9635,1013,190,888.5,129,1610.75,1534.75,13.95,53.6,0.849772,2004-03-14 00:00:00
2004-03-14,01:00:00,2.8,1483.5,131,11.8602,1044.75,174,879.75,119,1624.25,1529.75,14.65,51.5,0.853623,2004-03-14 01:00:00
2004-03-14,02:00:00,2.5,1366.75,92,8.62468,924.5,128,952.5,104,1543,1337,12.55,58.9,0.85374,2004-03-14 02:00:00
2004-03-14,03:00:00,2.4,1344,132,9.73779,967.75,99,920.5,93,1619.75,1278.25,11.65,63.425,0.867449,2004-03-14 03:00:00
2004-03-14,04:00:00,1.8,1129.5,56,5.19165,773,70,1130.25,82,1451.75,1050.5,12.1,61.1,0.860316,2004-03-14 04:00:00
2004-03-14,05:00:00,1.2,1062,32,3.65042,691,53,1271.5,70,1376.75,929,11.475,63.1,0.853275,2004-03-14 05:00:00
2004-03-14,06:00:00,1,1075.75,29,2.48134,618.25,44,1395.25,63,1333,872.25,11.6,62.15,0.847264,2004-03-14 06:00:00
2004-03-14,07:00:00,0.9,1028.25,27,2.42998,614.75,74,1383.5,67,1340,853,10.4,67.65,0.852999,2004-03-14 07:00:00
2004-03-14,08:00:00,1.4,1154.5,36,4.21051,722.25,101,1224.75,84,1413.75,959.25,11.575,62.675,0.853038,2004-03-14 08:00:00
2004-03-14,09:00:00,1.6,1235.25,57,6.35228,828,118,1055.25,83,1527,1093.25,12.425,60,0.862715,2004-03-14 09:00:00
2004-03-14,10:00:00,2.2,1331.5,129,8.58711,923,144,951.75,98,1613.75,1225,14.525,53.075,0.872782,2004-03-14 10:00:00
2004-03-14,11:00:00,2.8,1444.75,148,10.8595,1009.25,176,878.25,114,1696,1355.25,16.875,46.1,0.878931,2004-03-14 11:00:00
2004-03-14,12:00:00,2.8,1415.5,145,10.6598,1002,161,906.75,119,1676.5,1261.5,19.3,38.25,0.847405,2004-03-14 12:00:00
2004-03-14,13:00:00,2,1281.25,93,7.54007,880,113,1083.75,104,1525,980,21.175,31.45,0.781196,2004-03-14 13:00:00
2004-03-14,14:00:00,1.8,1207.25,84,7.5046,878.5,103,1103.5,102,1489.5,872.25,21.425,30.2,0.761592,2004-03-14 14:00:00
2004-03-14,15:00:00,1.9,1257.75,99,8.16011,905.75,112,1081.25,107,1511,900.25,21.925,28.95,0.752459,2004-03-14 15:00:00
2004-03-14,16:00:00,3,1457.75,150,11.8674,1045,170,973.75,129,1646,1098.5,22.225,28.4,0.751627,2004-03-14 16:00:00
2004-03-14,17:00:00,2.9,1437.75,156,12.033,1050.75,180,942.5,128,1667.5,1206.25,21.3,30.75,0.769615,2004-03-14 17:00:00
2004-03-14,18:00:00,2.5,1477.75,122,12.1633,1055.25,160,929.25,121,1670.75,1262.25,19.65,36.7,0.830706,2004-03-14 18:00:00
2004-03-14,19:00:00,4.6,1807.5,262,20.5717,1312.25,261,753.25,157,1992.75,1697.75,18.375,41.725,0.873196,2004-03-14 19:00:00
2004-03-14,20:00:00,5.9,1898,341,23.1421,1381.25,325,680.5,173,2102.75,1904.75,17.625,46.1,0.920954,2004-03-14 20:00:00
2004-03-14,21:00:00,3.4,1559.5,214,14.7205,1139.75,217,783.75,146,1817.5,1648,16.65,49.575,0.93199,2004-03-14 21:00:00
2004-03-14,22:00:00,2.1,1324.25,100,9.0042,939.5,146,923.5,121,1587,1422.75,16.25,50.95,0.934147,2004-03-14 22:00:00
2004-03-14,23:00:00,2.2,1348.75,79,8.83889,933,152,933,119,1616.5,1348.75,14.725,55.925,0.931386,2004-03-14 23:00:00
2004-03-15,00:00:00,1.8,1238.75,66,7.35756,872.25,104,985,99,1546.5,1250.25,14.825,54.675,0.916354,2004-03-15 00:00:00
2004-03-15,01:00:00,1.8,1239,73,6.91821,853.25,106,1010.25,93,1543.25,1173.75,14.05,57,0.909449,2004-03-15 01:00:00
2004-03-15,02:00:00,1.8,1223.75,66,6.95819,855,108,998.25,88,1565.75,1148.75,13.35,61.35,0.936086,2004-03-15 02:00:00
2004-03-15,03:00:00,1.1,1078.25,44,4.42986,734,87,1128.25,79.5,1486.75,1020.5,12.6,63.475,0.923017,2004-03-15 03:00:00
2004-03-15,04:00:00,1.05,1077.5,44,3.99592,710.5,66,1150,71,1467.5,1012.75,12.35,65.35,0.935112,2004-03-15 04:00:00
2004-03-15,05:00:00,1,1074.5,39,3.86591,703.25,88,1155.75,74,1463.75,1010,11.9,67.45,0.937538,2004-03-15 05:00:00
2004-03-15,06:00:00,1.4,1156.75,51,6.38532,829.5,138,1029.5,80,1584,1083,11.375,70.525,0.947516,2004-03-15 06:00:00
2004-03-15,07:00:00,2.2,1314,107,9.68505,965.75,228,896.75,89,1710.25,1234.75,11.325,70.2,0.940095,2004-03-15 07:00:00
2004-03-15,08:00:00,5.5,1796.75,336,25.8705,1451,360,652,114,2323,1679.5,12.4,63.875,0.916955,2004-03-15 08:00:00
2004-03-15,09:00:00,8.1,1961.25,618,36.6921,1701,478,536.75,149,2665.25,2184.25,14.775,54.325,0.90761,2004-03-15 09:00:00
2004-03-15,10:00:00,5.8,1770.5,438,26.636,1470,394,621.5,157,2261.5,1973,17.4,45.65,0.899298,2004-03-15 10:00:00
2004-03-15,11:00:00,4.2,1563.5,334,20.1109,1299.5,319,709.75,155,2029,1798.25,19.8,38.525,0.88006,2004-03-15 11:00:00
2004-03-15,12:00:00,3.1,1430,221,14.0965,1119.75,201,830.5,134,1783.25,1522,22.025,34.05,0.890369,2004-03-15 12:00:00
2004-03-15,13:00:00,2.9,1417.25,207,14.9257,1146.25,171,829.5,119,1830.5,1404,23.325,32.175,0.909599,2004-03-15 13:00:00
2004-03-15,14:00:00,2.9,1400.25,191,15.4361,1162.25,159,838.25,111,1828.5,1263.25,23.875,29.975,0.875659,2004-03-15 14:00:00
2004-03-15,15:00:00,2.5,1317.25,185,12.0909,1052.75,153,926,104,1706.75,1137,24.45,28.9,0.873592,2004-03-15 15:00:00
2004-03-15,16:00:00,2.3,1317.75,141,11.5248,1033,143,949.75,99,1675,1068,24.375,29.4,0.884762,2004-03-15 16:00:00
2004-03-15,17:00:00,2.8,1445.25,214,14.7598,1141,156,856.5,110,1823.5,1251.5,23.85,31.325,0.913735,2004-03-15 17:00:00
2004-03-15,18:00:00,6.1,1917,471,32.1488,1600.5,314,631.25,162,2447,1843.25,22.55,35.375,0.9547,2004-03-15 18:00:00
2004-03-15,19:00:00,8,2039.75,685,39.2023,1754.25,404,542.25,187,2679,2122.25,20.425,42.5,1.00863,2004-03-15 19:00:00
2004-03-15,20:00:00,6.5,1894.75,538,30.9613,1573.25,320,565,165,2442.75,1991.5,18.275,52.625,1.09452,2004-03-15 20:00:00
2004-03-15,21:00:00,4.2,1594.5,319,19.8956,1293.5,256,678.25,145,2057.5,1707,16.65,57.375,1.07863,2004-03-15 21:00:00
2004-03-15,22:00:00,3.2,1438.5,224,15.3159,1158.5,193,764.25,125,1856.25,1494.25,15.7,60.15,1.06537,2004-03-15 22:00:00
2004-03-15,23:00:00,1.4,1141.5,67,6.8954,852.25,89,1008.25,101,1547.25,1164.25,15.25,61.45,1.05796,2004-03-15 23:00:00
2004-03-16,00:00:00,2.1,1303.67,155,11.1399,1019.33,127,852.333,103,1731.33,1271.67,14.0667,65.7,1.04937,2004-03-16 00:00:00
2004-03-16,01:00:00,1.2,1074.25,49,5.4055,783.5,79,1097.75,88,1483,1039.75,14.825,60.55,1.01482,2004-03-16 01:00:00
2004-03-16,02:00:00,0.8,968,29,2.81069,640,43,1319.5,61,1385.75,866.75,14.75,59.225,0.987908,2004-03-16 02:00:00
2004-03-16,03:00:00,0.7,929.25,25,2.32506,607.5,51,1375.5,60,1364.25,825.75,13.625,62.05,0.963555,2004-03-16 03:00:00
2004-03-16,04:00:00,0.65,941,25,2.58918,625.5,59,1315.75,59,1373.25,839.75,12.325,66.15,0.945036,2004-03-16 04:00:00
2004-03-16,05:00:00,0.6,937,17,2.00874,584.75,38,1411.5,52,1348,792.5,12.75,63.225,0.92829,2004-03-16 05:00:00
2004-03-16,06:00:00,0.9,1017,27,3.48269,681.25,82,1245.75,64,1417.5,869.5,11.175,68.475,0.908107,2004-03-16 06:00:00
2004-03-16,07:00:00,1.3,1171.25,50,5.13123,770,99,1161.75,70,1466.75,930,10.975,66.5,0.870523,2004-03-16 07:00:00
2004-03-16,08:00:00,3.4,1541,218,16.1745,1185,263,770,97,1888.75,1406.5,11.675,63.65,0.871937,2004-03-16 08:00:00
2004-03-16,09:00:00,3.7,1539.25,285,19.6635,1287,229,697.5,95,2054.75,1507,13.625,56.3,0.874265,2004-03-16 09:00:00
2004-03-16,10:00:00,5.3,1734.75,437,25.0552,1430.5,396,628.25,150,2211,1843.25,17.825,42.875,0.867225,2004-03-16 10:00:00
2004-03-16,11:00:00,4.1,1571,327,20.0031,1296.5,314,730,162,1972.75,1729,21.45,33.325,0.841671,2004-03-16 11:00:00
2004-03-16,12:00:00,3.3,1451.75,283,18.3471,1249.5,217,775.5,154,1868.25,1583.25,24.375,27.35,0.823069,2004-03-16 12:00:00
2004-03-16,13:00:00,4,1579,366,22.3086,1359.25,252,724,161,1997.75,1670.75,25.25,26.075,0.826381,2004-03-16 13:00:00
2004-03-16,14:00:00,3.8,1466.25,318,20.4448,1308.75,263,772.5,161,1897,1491.25,25.825,23.15,0.758937,2004-03-16 14:00:00
2004-03-16,15:00:00,2.8,1279.75,228,14.6104,1136.25,180,892.75,128,1675.25,1239.75,27,20.2,0.709362,2004-03-16 15:00:00
2004-03-16,16:00:00,2.9,1407,201,16.5533,1196.5,184,905.25,129,1758.75,1313,28.25,18.575,0.701386,2004-03-16 16:00:00
2004-03-16,17:00:00,2.9,1388.75,199,15.7832,1173,190,898.25,133,1739,1363.25,27.975,19.1,0.709825,2004-03-16 17:00:00
2004-03-16,18:00:00,3.4,1447.25,237,17.8399,1234.75,184,858.75,139,1778,1295.75,23.9,25.7,0.751891,2004-03-16 18:00:00
2004-03-16,19:00:00,3.9,1551,261,19.0971,1271,181,800.25,137,1874.5,1432.25,21.35,34.775,0.872993,2004-03-16 19:00:00
2004-03-16,20:00:00,3.2,1473.5,230,15.767,1172.5,166,854.25,143,1776,1431.75,20.425,36.675,0.870389,2004-03-16 20:00:00
2004-03-16,21:00:00,5.1,1799.5,349,24.8777,1426,317,700,177,2105.5,2033.5,19.025,41.35,0.900731,2004-03-16 21:00:00
2004-03-16,22:00:00,2.6,1379.25,183,13.5296,1101.25,184,817.5,138,1710,1601.75,17.925,45.9,0.934186,2004-03-16 22:00:00
2004-03-16,23:00:00,1.7,1200.5,88,9.08735,942.75,130,935,117,1559.75,1361.75,16.7,48.925,0.92265,2004-03-16 23:00:00
2004-03-17,00:00:00,1.7,1204.75,85,8.63095,924.75,132,922,107,1546.5,1314.25,15.525,52.925,0.927128,2004-03-17 00:00:00
2004-03-17,01:00:00,1.2,1071.5,47,5.41578,784,95,1065.5,90,1441.75,1113.75,15.475,51.875,0.905875,2004-03-17 01:00:00
2004-03-17,02:00:00,0.9,997.75,34,4.05026,713.5,70,1169.25,79,1383.25,991.5,14.125,55.575,0.890956,2004-03-17 02:00:00
2004-03-17,03:00:00,0.7,933.25,26,2.58168,625,62,1291.5,69.5,1331.5,883.75,13.05,57.9,0.866633,2004-03-17 03:00:00
2004-03-17,04:00:00,0.6,882.75,17,1.89893,576.5,54,1396,60,1303.25,808.25,12.65,57.9,0.84466,2004-03-17 04:00:00
2004-03-17,05:00:00,0.5,868.75,11,1.60683,553.5,28,1459.5,40,1267.75,667,11.825,58.025,0.802632,2004-03-17 05:00:00
2004-03-17,06:00:00,0.5,890.75,18,1.89565,576.25,46,1416.5,53,1289.25,733,11.9,57.4,0.797846,2004-03-17 06:00:00
2004-03-17,07:00:00,1.6,1172.75,84,7.48689,877.75,160,1038,84,1556.25,1051.75,9.9,65.2,0.795646,2004-03-17 07:00:00
2004-03-17,08:00:00,4.1,1587.25,260,21.3588,1333.75,320,702.25,108,1998.75,1533.5,11.125,60.2,0.795776,2004-03-17 08:00:00
2004-03-17,09:00:00,6.6,1851.5,534,36.4484,1695.75,377,552.75,127,2535.25,1931,14.125,50.025,0.80198,2004-03-17 09:00:00
2004-03-17,10:00:00,4.3,1521.5,368,21.2666,1331.25,280,702.5,134,2025.75,1733.75,17.7,40.1,0.804829,2004-03-17 10:00:00
2004-03-17,11:00:00,2.9,1438.25,200,15.388,1160.75,221,818.5,135,1781.5,1595,21.1,33.425,0.826486,2004-03-17 11:00:00
2004-03-17,12:00:00,2.5,1393.25,145,12.4991,1066.75,210,905,142,1654.25,1489.75,24.3,28.275,0.847128,2004-03-17 12:00:00
2004-03-17,13:00:00,2.8,1452,188,15.1083,1152,204,860.5,153,1747,1507.5,25.575,25.55,0.825395,2004-03-17 13:00:00
2004-03-17,14:00:00,2.6,1389.25,152,13.7353,1108,161,886.5,123,1711.5,1334,25.85,25.9,0.850339,2004-03-17 14:00:00
2004-03-17,15:00:00,2,1207,103,10.4345,993.75,135,1013,104,1519.5,1044.75,26.825,18.7,0.650018,2004-03-17 15:00:00
2004-03-17,16:00:00,2.9,1365.25,193,15.1641,1153.75,186,939.5,129,1678.5,1221.25,29.275,15.75,0.63089,2004-03-17 16:00:00
2004-03-17,17:00:00,2.5,1247,134,12.3088,1060.25,147,1032,114,1524.75,1068.5,28.5,14.9,0.570802,2004-03-17 17:00:00
2004-03-17,18:00:00,5,1556.75,386,26.951,1477.75,299,793,158,1980.5,1568.5,25.85,15.95,0.523665,2004-03-17 18:00:00
2004-03-17,19:00:00,7.6,1972.5,577,38.3932,1737.25,411,616.75,194,2413.75,2305.5,23.125,26.5,0.740261,2004-03-17 19:00:00
2004-03-17,20:00:00,6.7,1974.75,523,35.1036,1666.5,347,596.75,182,2415.5,2358.5,20.525,38.25,0.913314,2004-03-17 20:00:00
2004-03-17,21:00:00,5.7,1794.75,472,27.2471,1485,336,652.5,180,2174,2050,19.05,42.6,0.929388,2004-03-17 21:00:00
2004-03-17,22:00:00,2.8,1443.75,206,15.0447,1150,202,769.5,136,1726.5,1726.5,17.15,44.125,0.855831,2004-03-17 22:00:00
2004-03-17,23:00:00,2.6,1488,216,15.7103,1170.75,178,731,127,1777.5,1705,16.025,50.925,0.920599,2004-03-17 23:00:00
2004-03-18,00:00:00,2.3,1371.25,159,12.9727,1082.75,154,795.75,116,1668.75,1550.5,14.8,53.925,0.902354,2004-03-18 00:00:00
2004-03-18,01:00:00,1.4,1160.75,70,8.12342,904.25,92,946.75,107,1502,1240.25,14.275,55.45,0.897473,2004-03-18 01:00:00
2004-03-18,02:00:00,1,1064.25,44,5.4776,787,61,1056.75,88,1407,1115,14.75,52.075,0.868642,2004-03-18 02:00:00
2004-03-18,03:00:00,0.7,970.25,42,3.5812,687,60.5,1195.5,83,1350.5,968.5,13.875,53.875,0.850059,2004-03-18 03:00:00
2004-03-18,04:00:00,0.65,954,28,2.88493,644.75,60,1260.25,78,1334,924.75,11.6,61.925,0.844196,2004-03-18 04:00:00
2004-03-18,05:00:00,0.6,930.5,20,2.54804,622.75,37,1293.25,57,1306.5,827.75,12,58.85,0.823302,2004-03-18 05:00:00
2004-03-18,06:00:00,0.7,938,26,2.97193,650.25,68,1251.25,71,1332.5,893,10.95,62.075,0.811277,2004-03-18 06:00:00
2004-03-18,07:00:00,1.5,1166.25,78,7.66479,885.25,139,1005.25,85,1550.5,1075,10.575,63.25,0.806682,2004-03-18 07:00:00
2004-03-18,08:00:00,4.7,1643,319,23.2568,1384.25,339,667,124,2093.75,1610.25,11.475,60.025,0.811693,2004-03-18 08:00:00
2004-03-18,09:00:00,6.6,1934,506,35.7906,1681.5,421,540.5,151,2468.25,2050.5,14.275,50.575,0.81857,2004-03-18 09:00:00
2004-03-18,10:00:00,4.5,1616.5,505.466,21.3127,1332.5,349,685.75,150,2010,1818.5,17.85,40.525,0.820964,2004-03-18 10:00:00
