Date,Time,CO,PT08.S1_CO,NMHC,C6H6,PT08.S2_NMHC,NOx,PT08.S3_NOx,NO2,PT08.S4_NO2,PT08.S5_O3,T,RH,AH,Datetime,AQI,AQI_CO,AQI_C6H6,AQI_NOx,AQI_NO2,AQI_等级
2004-03-11,04:00:00,0.65,1011,14,1.29362,526.75,21,1817.5,34,1196.75,445.25,10.075,60.475,0.746495,2004-03-11 04:00:00,18.1818,18.1818,9.09091,9.09091,9.09091,优(0-20)
2004-03-11,05:00:00,0.7,1066,8,1.13343,512,16,1918,28,1182,421.75,11,56.175,0.73656,2004-03-11 05:00:00,25,25,8.33333,8.33333,8.33333,良(20-40)
2004-03-11,06:00:00,0.7,1051.75,16,1.60377,553.25,34,1738.25,48,1221.25,471.5,10.45,58.125,0.735295,2004-03-11 06:00:00,30.7692,26.9231,23.0769,30.7692,30.7692,良(20-40)
2004-03-11,07:00:00,1.1,1144,29,3.24362,667,98,1489.75,82,1339,729.75,10.2,59.6,0.741736,2004-03-11 07:00:00,64.2857,50,42.8571,64.2857,57.1429,中度污染(60-80)
2004-03-11,08:00:00,2,1333.25,64,8.01377,899.75,174,1136,112,1517,1101.5,10.75,57.425,0.740795,2004-03-11 08:00:00,100,76.6667,73.3333,100,73.3333,重度污染(80-100)
2004-03-11,09:00:00,2.2,1351,87,9.54064,960.25,129,1079,101,1582.75,1027.75,10.5,60.6,0.769111,2004-03-11 09:00:00,93.75,87.5,93.75,68.75,68.75,重度污染(80-100)
2004-03-11,10:00:00,1.7,1233.25,77,6.33578,827.25,112,1218,98,1445.75,859.75,10.8,58.35,0.755183,2004-03-11 10:00:00,64.7059,64.7059,58.8235,64.7059,64.7059,中度污染(60-80)
2004-03-11,11:00:00,1.5,1178.75,43,4.97158,762,95,1327.5,92,1361.75,670.5,10.5,57.925,0.735161,2004-03-11 11:00:00,55.5556,55.5556,55.5556,50,52.7778,轻度污染(40-60)
2004-03-11,12:00:00,1.6,1236,61,5.21692,774.25,104,1301.25,95,1401.25,664,9.525,66.775,0.795054,2004-03-11 12:00:00,63.1579,60.5263,57.8947,63.1579,57.8947,中度污染(60-80)
2004-03-11,13:00:00,1.9,1285.5,63,7.26993,868.5,146,1162.25,112,1536.75,799,8.3,76.425,0.839268,2004-03-11 13:00:00,85,70,70,85,77.5,重度污染(80-100)
2004-03-11,14:00:00,2.9,1371,164,11.539,1033.5,207,983.25,128,1730.25,1036.5,8,81.15,0.873589,2004-03-11 14:00:00,100,100,95.2381,100,100,重度污染(80-100)
2004-03-11,15:00:00,2.2,1310,79,8.82622,932.5,184,1081.75,126,1646.5,946.25,8.325,79.8,0.877784,2004-03-11 15:00:00,95.4545,84.0909,72.7273,95.4545,95.4545,重度污染(80-100)
2004-03-11,16:00:00,2.2,1291.75,95,8.30141,911.5,193,1102.5,131,1590.75,956.75,9.7,71.15,0.856938,2004-03-11 16:00:00,100,82.6087,69.5652,95.6522,100,重度污染(80-100)
2004-03-11,17:00:00,2.9,1383,150,11.1516,1019.75,243,1008,135,1718.75,1104,9.775,67.625,0.818501,2004-03-11 17:00:00,100,97.9167,91.6667,100,100,重度污染(80-100)
2004-03-11,18:00:00,4.8,1580.75,307,20.7992,1318.5,281,798.5,151,2083,1408.5,10.35,64.175,0.806544,2004-03-11 18:00:00,100,100,100,100,100,重度污染(80-100)
2004-03-11,19:00:00,6.9,1775.5,461,27.3598,1487.75,383,702.25,172,2332.5,1704,9.65,69.3,0.831921,2004-03-11 19:00:00,100,100,100,100,100,重度污染(80-100)
2004-03-11,20:00:00,6.1,1640,401,24.0178,1404,351,742.75,165,2191.25,1653.75,9.65,67.75,0.813314,2004-03-11 20:00:00,96.2963,96.2963,96.2963,96.2963,96.2963,重度污染(80-100)
2004-03-11,21:00:00,3.9,1312.75,197,12.7794,1076.25,240,957.25,136,1706.5,1284.75,9.125,63.975,0.741924,2004-03-11 21:00:00,89.2857,89.2857,89.2857,85.7143,89.2857,重度污染(80-100)
2004-03-11,22:00:00,1.5,964.5,61,4.70707,748.5,94,1325.25,85,1332.5,821,8.175,63.4,0.690484,2004-03-11 22:00:00,36.2069,36.2069,31.0345,31.0345,31.0345,良(20-40)
2004-03-11,23:00:00,1,912.75,26,2.64572,629.25,47,1564.5,53,1252.25,551.75,8.25,60.825,0.665744,2004-03-11 23:00:00,21.6667,21.6667,20,20,16.6667,良(20-40)
2004-03-12,00:00:00,1.7,1080.25,55,5.8548,805,122,1253.5,97,1375,815.5,8.325,58.525,0.643764,2004-03-12 00:00:00,51.6129,50,45.1613,51.6129,48.3871,轻度污染(40-60)
2004-03-12,01:00:00,1.9,1043.75,53,6.3743,829,133,1247.25,110,1378.25,831.5,7.725,59.675,0.630766,2004-03-12 01:00:00,62.5,54.6875,50,62.5,56.25,中度污染(60-80)
2004-03-12,02:00:00,1.4,987.75,40,4.13234,718,82,1395.5,91,1303.5,691.5,7.125,61.8,0.627597,2004-03-12 02:00:00,33.3333,33.3333,30.303,27.2727,33.3333,良(20-40)
2004-03-12,03:00:00,0.8,888.75,21,1.86944,574.25,51.5,1680.25,61.5,1187,512,6.975,62.275,0.626108,2004-03-12 03:00:00,20.5882,14.7059,14.7059,20.5882,20.5882,良(20-40)
2004-03-12,04:00:00,0.7,831,10,1.06829,505.75,21,1892.75,32,1133.75,384,6.1,65.9,0.624754,2004-03-12 04:00:00,11.4286,11.4286,2.85714,7.14286,5.71429,优(0-20)
2004-03-12,05:00:00,0.6,847.25,7,1.02241,501.25,30,1894.5,44,1154.75,394,6.275,64.975,0.623282,2004-03-12 05:00:00,11.1111,4.16667,2.77778,11.1111,11.1111,优(0-20)
2004-03-12,06:00:00,0.8,927,17,1.83043,571.25,56,1684.75,71,1222.75,486.5,6.75,62.95,0.623428,2004-03-12 06:00:00,27.027,20.2703,18.9189,27.027,27.027,良(20-40)
2004-03-12,07:00:00,1.4,1090.5,33,4.35934,730.25,109,1387,104,1360.75,748.25,6.45,65.075,0.631628,2004-03-12 07:00:00,60.5263,40.7895,39.4737,52.6316,60.5263,中度污染(60-80)
2004-03-12,08:00:00,4.4,1587,202,17.8656,1235.5,307,896.5,141,1900.25,1400.25,7.325,63.15,0.649933,2004-03-12 08:00:00,94.8718,92.3077,92.3077,94.8718,92.3077,重度污染(80-100)
2004-03-12,09:00:00,3.75,1544.5,205,22.0742,1353,247,767.25,131.5,2058,1587.75,9.225,56.2,0.656065,2004-03-12 09:00:00,95,87.5,95,90,85,重度污染(80-100)
2004-03-12,10:00:00,3.1,1350.25,208,14.027,1117.5,187,912,122,1711.75,1237,13.225,41.75,0.63195,2004-03-12 10:00:00,87.8049,85.3659,87.8049,78.0488,74.3902,重度污染(80-100)
2004-03-12,11:00:00,2.7,1262.75,166,11.6456,1037.25,216,969,143,1598.25,1166.5,14.325,38.45,0.624304,2004-03-12 11:00:00,92.8571,78.5714,80.9524,83.3333,92.8571,重度污染(80-100)
2004-03-12,12:00:00,2.1,1206.25,114,10.2247,986,143,1034.5,113,1537,959,15.025,36.5,0.619532,2004-03-12 12:00:00,74.4186,62.7907,74.4186,62.7907,63.9535,中度污染(60-80)
2004-03-12,13:00:00,2.5,1251.5,140,11.0399,1015.75,160,1007.5,116,1592.75,983,16.1,34.475,0.626165,2004-03-12 13:00:00,75,75,75,65.9091,69.3182,中度污染(60-80)
2004-03-12,14:00:00,2.7,1287,169,12.8164,1077.5,163,948.75,123,1660.25,1060.75,16.275,35.725,0.656031,2004-03-12 14:00:00,86.6667,78.8889,86.6667,66.6667,75.5556,重度污染(80-100)
2004-03-12,15:00:00,2.9,1352.75,185,14.1739,1122.25,190,921.75,126,1740,1139.25,15.825,37.025,0.660961,2004-03-12 15:00:00,89.1304,82.6087,89.1304,78.2609,77.1739,重度污染(80-100)
2004-03-12,16:00:00,2.8,1309,165,12.6906,1073.25,178,954,120,1657.25,1112.25,15.875,37.175,0.665729,2004-03-12 16:00:00,80.8511,78.7234,80.8511,72.3404,68.0851,重度污染(80-100)
2004-03-12,17:00:00,2.4,1274,133,11.7384,1040.5,150,1005.75,119,1609.75,993.75,16.875,34.35,0.654909,2004-03-12 17:00:00,77.0833,68.75,77.0833,60.4167,66.6667,中度污染(60-80)
2004-03-12,18:00:00,3.9,1509.5,233,19.291,1276.5,206,812.25,149,1909.75,1409.5,15.15,39.55,0.676627,2004-03-12 18:00:00,93.8776,90.8163,91.8367,81.6327,93.8776,重度污染(80-100)
2004-03-12,19:00:00,3.7,1525.25,242,18.2262,1246,202,821,145,1846.75,1447.75,14.4,43.425,0.70845,2004-03-12 19:00:00,92,86,90,80,92,重度污染(80-100)
2004-03-12,20:00:00,6.6,1843,488,32.5563,1609.75,340,624,170,2390.25,1886.5,12.875,50.525,0.747803,2004-03-12 20:00:00,100,98.0392,100,96.0784,98.0392,重度污染(80-100)
2004-03-12,21:00:00,4.4,1597.75,333,20.0929,1299,274,752,149,1940.5,1626.75,12.15,53.35,0.75362,2004-03-12 21:00:00,91.3462,91.3462,90.3846,90.3846,91.3462,重度污染(80-100)
2004-03-12,22:00:00,3.5,1483.5,215,14.3213,1127,253,839,139,1723,1491,10.975,59.125,0.77398,2004-03-12 22:00:00,88.6792,81.1321,83.0189,88.6792,83.0189,重度污染(80-100)
2004-03-12,23:00:00,5.4,1677.25,367,21.8129,1346,300,740.5,134,2062,1657,9.675,64.625,0.777074,2004-03-12 23:00:00,94.4444,94.4444,92.5926,92.5926,77.7778,重度污染(80-100)
2004-03-13,00:00:00,2.7,1279.5,122,9.639,964,193,962.5,113,1543.5,1285.25,9.45,64.125,0.759747,2004-03-13 00:00:00,71.8182,67.2727,58.1818,71.8182,50.9091,中度污染(60-80)
2004-03-13,01:00:00,1.9,1196.25,67,7.37514,873,139,1071.25,97,1463.25,1144.25,9.15,63.9,0.742276,2004-03-13 01:00:00,48.2143,42.8571,44.6429,48.2143,36.6071,轻度污染(40-60)
2004-03-13,02:00:00,1.6,1183.75,43,5.3696,781.75,83,1176.25,82,1364.5,1042.75,8.8,63.925,0.725615,2004-03-13 02:00:00,35.0877,35.0877,35.0877,24.5614,23.6842,良(20-40)
2004-03-13,03:00:00,1.7,1171.75,46,5.3901,782.75,96,1178.5,82.5,1379.75,995.5,7.8,67.525,0.717312,2004-03-13 03:00:00,39.6552,39.6552,36.2069,31.0345,25.8621,良(20-40)
2004-03-13,04:00:00,1.35,1147,56,6.19904,821,109,1132.25,83,1411.75,991.5,7,71.075,0.715778,2004-03-13 04:00:00,38.9831,25.4237,38.9831,38.1356,27.1186,良(20-40)
2004-03-13,05:00:00,1,978.25,30,2.57793,624.75,62,1420.25,65,1274.25,819.25,8.3,63.575,0.698155,2004-03-13 05:00:00,20,18.3333,16.6667,20,16.6667,优(0-20)
2004-03-13,06:00:00,1.2,1099.5,27,2.90855,646.25,53,1406.25,60,1267.5,835,7.2,67.475,0.688672,2004-03-13 06:00:00,24.5902,24.5902,19.6721,16.3934,13.9344,良(20-40)
2004-03-13,07:00:00,1.5,1112.25,47,5.13626,770.25,139,1228,77,1408.5,939.75,6.35,71.9,0.693199,2004-03-13 07:00:00,52.4194,33.871,33.871,52.4194,23.3871,轻度污染(40-60)
2004-03-13,08:00:00,2.7,1335.5,132,11.8171,1043.25,256,935.25,96,1678,1191.75,6.45,71.55,0.694475,2004-03-13 08:00:00,88.8889,70.6349,73.0159,88.8889,40.4762,重度污染(80-100)
2004-03-13,09:00:00,3.7,1408.33,239,15.1402,1153,295,830.333,119,1776.67,1411,9.56667,59.6667,0.712367,2004-03-13 09:00:00,92.1875,83.5938,84.375,92.1875,64.8438,重度污染(80-100)
2004-03-13,10:00:00,3.2,1447,160,12.9131,1080.75,250,868.5,126,1666.75,1465,12.375,51.175,0.733458,2004-03-13 10:00:00,84.6154,80,78.4615,84.6154,73.8462,重度污染(80-100)
2004-03-13,11:00:00,4.1,1541.5,283,16.1335,1183.75,296,808.25,158,1779.75,1582.5,15.65,42.2,0.745094,2004-03-13 11:00:00,95.4545,89.3939,84.8485,92.4242,95.4545,重度污染(80-100)
2004-03-13,12:00:00,3.6,1451.25,210,14.0193,1117.25,239,875.25,161,1679.25,1387.25,18.4,33.825,0.708964,2004-03-13 12:00:00,95.5224,80.597,77.6119,77.6119,95.5224,重度污染(80-100)
2004-03-13,13:00:00,2.8,1328.25,154,12.2797,1059.25,153,986.5,124,1599.5,1100.5,19.35,31.275,0.695008,2004-03-13 13:00:00,70.5882,69.8529,70.5882,54.4118,69.1176,中度污染(60-80)
2004-03-13,14:00:00,2,1206.5,112,8.61841,924.25,118,1087.75,102,1488.25,849.75,18.025,34.8,0.712674,2004-03-13 14:00:00,49.2754,47.8261,49.2754,39.1304,44.9275,轻度污染(40-60)
2004-03-13,15:00:00,2,1239.5,108,9.19657,947,119,1049,116,1531.75,947,18.375,33.65,0.704207,2004-03-13 15:00:00,58.5714,47.8571,52.8571,40,58.5714,轻度污染(40-60)
2004-03-13,16:00:00,2.5,1306,111,10.2449,986.75,138,1004,124,1554,1078,17.625,35.1,0.701203,2004-03-13 16:00:00,69.7183,61.2676,60.5634,47.8873,69.7183,中度污染(60-80)
2004-03-13,17:00:00,2.3,1326,97,10.6118,1000.25,148,975.5,125,1601.5,1083.75,16.675,37.8,0.711736,2004-03-13 17:00:00,70.8333,58.3333,61.1111,54.1667,70.8333,中度污染(60-80)
2004-03-13,18:00:00,3.2,1472.75,191,15.4522,1162.75,227,830.5,148,1779,1394.75,16.1,41.025,0.745131,2004-03-13 18:00:00,89.0411,78.7671,84.9315,78.0822,89.0411,重度污染(80-100)
2004-03-13,19:00:00,4.2,1609,258,19.6368,1286.25,277,757.5,165,1922,1611.5,15.825,42.4,0.756914,2004-03-13 19:00:00,96.6216,90.5405,90.5405,89.1892,96.6216,重度污染(80-100)
2004-03-13,20:00:00,4.2,1610.75,284,19.2027,1274,279,754.25,161,1915,1697.25,15.65,44.1,0.778641,2004-03-13 20:00:00,94,90,88,89.3333,94,重度污染(80-100)
2004-03-13,21:00:00,4.2,1620.5,269,18.2693,1247.25,283,762,159,1860,1885.5,15.325,46.775,0.809124,2004-03-13 21:00:00,92.1053,89.4737,86.8421,90.7895,92.1053,重度污染(80-100)
2004-03-13,22:00:00,3.1,1444.25,180,13.1447,1088.5,214,844,143,1747.5,1623.75,14.65,48.625,0.805969,2004-03-13 22:00:00,82.4675,73.3766,74.026,72.7273,82.4675,重度污染(80-100)
2004-03-13,23:00:00,2.6,1418,116,10.8734,1009.75,172,892,130,1603,1536.25,14.7,49.275,0.819336,2004-03-13 23:00:00,71.7949,59.6154,57.6923,58.3333,71.7949,中度污染(60-80)
2004-03-14,00:00:00,2.9,1533.5,93,10.9635,1013,190,888.5,129,1610.75,1534.75,13.95,53.6,0.849772,2004-03-14 00:00:00,70.8861,70.2532,58.2278,65.1899,70.8861,中度污染(60-80)
2004-03-14,01:00:00,2.8,1483.5,131,11.8602,1044.75,174,879.75,119,1624.25,1529.75,14.65,51.5,0.853623,2004-03-14 01:00:00,66.25,66.25,66.25,59.375,55,中度污染(60-80)
2004-03-14,02:00:00,2.5,1366.75,92,8.62468,924.5,128,952.5,104,1543,1337,12.55,58.9,0.85374,2004-03-14 02:00:00,55.5556,55.5556,43.2099,37.037,40.1235,轻度污染(40-60)
2004-03-14,03:00:00,2.4,1344,132,9.73779,967.75,99,920.5,93,1619.75,1278.25,11.65,63.425,0.867449,2004-03-14 03:00:00,53.0488,53.0488,52.439,26.8293,29.2683,轻度污染(40-60)
2004-03-14,04:00:00,1.8,1129.5,56,5.19165,773,70,1130.25,82,1451.75,1050.5,12.1,61.1,0.860316,2004-03-14 04:00:00,34.9398,34.9398,26.506,18.0723,20.4819,良(20-40)
2004-03-14,05:00:00,1.2,1062,32,3.65042,691,53,1271.5,70,1376.75,929,11.475,63.1,0.853275,2004-03-14 05:00:00,19.0476,18.4524,19.0476,12.5,14.2857,优(0-20)
2004-03-14,06:00:00,1,1075.75,29,2.48134,618.25,44,1395.25,63,1333,872.25,11.6,62.15,0.847264,2004-03-14 06:00:00,13.5294,13.5294,11.7647,8.23529,12.9412,优(0-20)
2004-03-14,07:00:00,0.9,1028.25,27,2.42998,614.75,74,1383.5,67,1340,853,10.4,67.65,0.852999,2004-03-14 07:00:00,20.9302,11.0465,11.6279,20.9302,15.1163,良(20-40)
2004-03-14,08:00:00,1.4,1154.5,36,4.21051,722.25,101,1224.75,84,1413.75,959.25,11.575,62.675,0.853038,2004-03-14 08:00:00,31.0345,25.2874,22.9885,31.0345,27.5862,良(20-40)
2004-03-14,09:00:00,1.6,1235.25,57,6.35228,828,118,1055.25,83,1527,1093.25,12.425,60,0.862715,2004-03-14 09:00:00,38.0682,32.3864,37.5,38.0682,26.7045,良(20-40)
2004-03-14,10:00:00,2.2,1331.5,129,8.58711,923,144,951.75,98,1613.75,1225,14.525,53.075,0.872782,2004-03-14 10:00:00,51.6854,51.1236,44.9438,51.6854,41.0112,轻度污染(40-60)
2004-03-14,11:00:00,2.8,1444.75,148,10.8595,1009.25,176,878.25,114,1696,1355.25,16.875,46.1,0.878931,2004-03-14 11:00:00,69.4444,69.4444,60,64.4444,53.8889,中度污染(60-80)
2004-03-14,12:00:00,2.8,1415.5,145,10.6598,1002,161,906.75,119,1676.5,1261.5,19.3,38.25,0.847405,2004-03-14 12:00:00,69.2308,69.2308,59.3407,57.1429,59.8901,中度污染(60-80)
2004-03-14,13:00:00,2,1281.25,93,7.54007,880,113,1083.75,104,1525,980,21.175,31.45,0.781196,2004-03-14 13:00:00,44.5652,43.4783,41.3043,35.8696,44.5652,轻度污染(40-60)
2004-03-14,14:00:00,1.8,1207.25,84,7.5046,878.5,103,1103.5,102,1489.5,872.25,21.425,30.2,0.761592,2004-03-14 14:00:00,42.4731,37.0968,40.8602,30.6452,42.4731,轻度污染(40-60)
2004-03-14,15:00:00,1.9,1257.75,99,8.16011,905.75,112,1081.25,107,1511,900.25,21.925,28.95,0.752459,2004-03-14 15:00:00,46.8085,39.8936,43.617,35.6383,46.8085,轻度污染(40-60)
2004-03-14,16:00:00,3,1457.75,150,11.8674,1045,170,973.75,129,1646,1098.5,22.225,28.4,0.751627,2004-03-14 16:00:00,76.8421,76.8421,71.5789,61.0526,75.2632,中度污染(60-80)
2004-03-14,17:00:00,2.9,1437.75,156,12.033,1050.75,180,942.5,128,1667.5,1206.25,21.3,30.75,0.769615,2004-03-14 17:00:00,73.9583,73.9583,72.9167,67.7083,73.4375,中度污染(60-80)
2004-03-14,18:00:00,2.5,1477.75,122,12.1633,1055.25,160,929.25,121,1670.75,1262.25,19.65,36.7,0.830706,2004-03-14 18:00:00,73.1959,58.2474,73.1959,56.1856,62.8866,中度污染(60-80)
2004-03-14,19:00:00,4.6,1807.5,262,20.5717,1312.25,261,753.25,157,1992.75,1697.75,18.375,41.725,0.873196,2004-03-14 19:00:00,94.898,94.898,93.8776,87.7551,91.8367,重度污染(80-100)
2004-03-14,20:00:00,5.9,1898,341,23.1421,1381.25,325,680.5,173,2102.75,1904.75,17.625,46.1,0.920954,2004-03-14 20:00:00,100,96.9697,96.9697,96.9697,100,重度污染(80-100)
2004-03-14,21:00:00,3.4,1559.5,214,14.7205,1139.75,217,783.75,146,1817.5,1648,16.65,49.575,0.93199,2004-03-14 21:00:00,86,80,82,78,86,重度污染(80-100)
2004-03-14,22:00:00,2.1,1324.25,100,9.0042,939.5,146,923.5,121,1587,1422.75,16.25,50.95,0.934147,2004-03-14 22:00:00,60.8911,45.0495,47.5248,50,60.8911,中度污染(60-80)
2004-03-14,23:00:00,2.2,1348.75,79,8.83889,933,152,933,119,1616.5,1348.75,14.725,55.925,0.931386,2004-03-14 23:00:00,56.8627,49.0196,46.0784,52.9412,56.8627,轻度污染(40-60)
2004-03-15,00:00:00,1.8,1238.75,66,7.35756,872.25,104,985,99,1546.5,1250.25,14.825,54.675,0.916354,2004-03-15 00:00:00,36.8932,33.9806,35.9223,29.6117,36.8932,良(20-40)
2004-03-15,01:00:00,1.8,1239,73,6.91821,853.25,106,1010.25,93,1543.25,1173.75,14.05,57,0.909449,2004-03-15 01:00:00,34.6154,34.1346,34.6154,30.7692,29.3269,良(20-40)
2004-03-15,02:00:00,1.8,1223.75,66,6.95819,855,108,998.25,88,1565.75,1148.75,13.35,61.35,0.936086,2004-03-15 02:00:00,35.2381,34.2857,35.2381,31.4286,25.7143,良(20-40)
2004-03-15,03:00:00,1.1,1078.25,44,4.42986,734,87,1128.25,79.5,1486.75,1020.5,12.6,63.475,0.923017,2004-03-15 03:00:00,20.7547,14.6226,20.7547,19.8113,17.9245,良(20-40)
2004-03-15,04:00:00,1.05,1077.5,44,3.99592,710.5,66,1150,71,1467.5,1012.75,12.35,65.35,0.935112,2004-03-15 04:00:00,17.757,14.0187,17.757,15.8879,14.486,优(0-20)
2004-03-15,05:00:00,1,1074.5,39,3.86591,703.25,88,1155.75,74,1463.75,1010,11.9,67.45,0.937538,2004-03-15 05:00:00,21.2963,12.037,17.5926,21.2963,15.7407,良(20-40)
2004-03-15,06:00:00,1.4,1156.75,51,6.38532,829.5,138,1029.5,80,1584,1083,11.375,70.525,0.947516,2004-03-15 06:00:00,47.2477,23.3945,34.8624,47.2477,20.1835,轻度污染(40-60)
2004-03-15,07:00:00,2.2,1314,107,9.68505,965.75,228,896.75,89,1710.25,1234.75,11.325,70.2,0.940095,2004-03-15 07:00:00,80.9091,52.2727,56.3636,80.9091,29.0909,重度污染(80-100)
2004-03-15,08:00:00,5.5,1796.75,336,25.8705,1451,360,652,114,2323,1679.5,12.4,63.875,0.916955,2004-03-15 08:00:00,99.0991,96.3964,98.1982,99.0991,54.0541,重度污染(80-100)
2004-03-15,09:00:00,8.1,1961.25,618,36.6921,1701,478,536.75,149,2665.25,2184.25,14.775,54.325,0.90761,2004-03-15 09:00:00,100,100,100,100,89.2857,重度污染(80-100)
2004-03-15,10:00:00,5.8,1770.5,438,26.636,1470,394,621.5,157,2261.5,1973,17.4,45.65,0.899298,2004-03-15 10:00:00,99.115,95.5752,97.3451,99.115,91.5929,重度污染(80-100)
2004-03-15,11:00:00,4.2,1563.5,334,20.1109,1299.5,319,709.75,155,2029,1798.25,19.8,38.525,0.88006,2004-03-15 11:00:00,93.8596,88.1579,90.3509,93.8596,90.3509,重度污染(80-100)
2004-03-15,12:00:00,3.1,1430,221,14.0965,1119.75,201,830.5,134,1783.25,1522,22.025,34.05,0.890369,2004-03-15 12:00:00,78.2609,75.6522,78.2609,71.3043,77.8261,中度污染(60-80)
2004-03-15,13:00:00,2.9,1417.25,207,14.9257,1146.25,171,829.5,119,1830.5,1404,23.325,32.175,0.909599,2004-03-15 13:00:00,81.0345,71.1207,81.0345,59.4828,58.1897,重度污染(80-100)
2004-03-15,14:00:00,2.9,1400.25,191,15.4361,1162.25,159,838.25,111,1828.5,1263.25,23.875,29.975,0.875659,2004-03-15 14:00:00,82.0513,70.9402,82.0513,53.8462,46.1538,重度污染(80-100)
2004-03-15,15:00:00,2.5,1317.25,185,12.0909,1052.75,153,926,104,1706.75,1137,24.45,28.9,0.873592,2004-03-15 15:00:00,68.6441,56.7797,68.6441,52.9661,42.7966,中度污染(60-80)
2004-03-15,16:00:00,2.3,1317.75,141,11.5248,1033,143,949.75,99,1675,1068,24.375,29.4,0.884762,2004-03-15 16:00:00,61.3445,52.521,61.3445,46.6387,38.2353,中度污染(60-80)
2004-03-15,17:00:00,2.8,1445.25,214,14.7598,1141,156,856.5,110,1823.5,1251.5,23.85,31.325,0.913735,2004-03-15 17:00:00,80,66.25,80,54.1667,46.25,中度污染(60-80)
2004-03-15,18:00:00,6.1,1917,471,32.1488,1600.5,314,631.25,162,2447,1843.25,22.55,35.375,0.9547,2004-03-15 18:00:00,98.3471,97.1074,98.3471,93.3884,95.8678,重度污染(80-100)
2004-03-15,19:00:00,8,2039.75,685,39.2023,1754.25,404,542.25,187,2679,2122.25,20.425,42.5,1.00863,2004-03-15 19:00:00,100,99.1803,100,99.1803,100,重度污染(80-100)
2004-03-15,20:00:00,6.5,1894.75,538,30.9613,1573.25,320,565,165,2442.75,1991.5,18.275,52.625,1.09452,2004-03-15 20:00:00,96.748,96.748,96.748,93.4959,95.935,重度污染(80-100)
2004-03-15,21:00:00,4.2,1594.5,319,19.8956,1293.5,256,678.25,145,2057.5,1707,16.65,57.375,1.07863,2004-03-15 21:00:00,87.0968,86.2903,87.0968,82.6613,82.6613,重度污染(80-100)
2004-03-15,22:00:00,3.2,1438.5,224,15.3159,1158.5,193,764.25,125,1856.25,1494.25,15.7,60.15,1.06537,2004-03-15 22:00:00,79.2,76,79.2,68.8,66.8,中度污染(60-80)
2004-03-15,23:00:00,1.4,1141.5,67,6.8954,852.25,89,1008.25,101,1547.25,1164.25,15.25,61.45,1.05796,2004-03-15 23:00:00,37.6984,20.6349,31.746,19.4444,37.6984,良(20-40)
2004-03-16,00:00:00,2.1,1303.67,155,11.1399,1019.33,127,852.333,103,1731.33,1271.67,14.0667,65.7,1.04937,2004-03-16 00:00:00,57.4803,42.5197,57.4803,37.0079,40.1575,轻度污染(40-60)
2004-03-16,01:00:00,1.2,1074.25,49,5.4055,783.5,79,1097.75,88,1483,1039.75,14.825,60.55,1.01482,2004-03-16 01:00:00,25.7812,16.4062,25.7812,15.625,24.6094,良(20-40)
2004-03-16,02:00:00,0.8,968,29,2.81069,640,43,1319.5,61,1385.75,866.75,14.75,59.225,0.987908,2004-03-16 02:00:00,10.8527,6.20155,10.8527,5.42636,7.75194,优(0-20)
